"player","oapm","dapm","apm","poss"
"Maxi Kleber",10.5372197049615,-8.34584839306162,2.19137131189986,10056
"D.J. Wilson",17.7653050258393,-15.6391161128405,2.12618891299882,59
"Micah Potter",10.2320094716334,-8.11982660108806,2.11218287054535,3927
"Keegan Murray",11.1100362164832,-9.00794328553382,2.1020929309494,31526
"Terence Davis",13.4173379988439,-11.3342888861237,2.08304911272018,3632
"Gary Payton II",12.3414060343946,-10.2643727426156,2.07703329177908,8173
"Isaiah Stewart",8.92911995330568,-6.85316117059062,2.07595878271506,17827
"Matisse Thybulle",9.39518912868736,-7.32214304378197,2.07304608490539,12408
"Gary Harris",13.750152523173,-11.6780797648881,2.0720727582849,13015
"Marcus Sasser",11.9651927801739,-9.8969716728803,2.06822110729364,9040
"John Konchar",10.5497480906298,-8.50778004656877,2.04196804406108,13483
"Naz Reid",10.7235474088363,-8.69668461591831,2.02686279291801,22438
"George Hill",8.61922935680433,-6.59385837147457,2.02537098532976,3459
"Caris LeVert",11.5640334728557,-9.54206673529388,2.02196673756181,23729
"Aaron Nesmith",14.9854646100341,-12.9902789415512,1.99518566848297,20739
"Kyle Filipowski",11.297613528574,-9.3271796092544,1.97043391931963,6419
"Kelly Olynyk",12.9559724406731,-10.9870715140483,1.96890092662477,19204
"Kyshawn George",9.89552361062013,-7.93187134807448,1.96365226254565,7627
"Joe Ingles",15.8272692389176,-13.8638027806095,1.96346645830817,9616
"Zach LaVine",13.2502970111863,-11.2952554691348,1.95504154205148,25874
"Mike Muscala",11.9593839241953,-10.0102233124569,1.94916061173841,6560
"Javonte Green",12.0137333633664,-10.0779983730451,1.93573499032127,8196
"Jarrett Culver",10.4702030577178,-8.55295874088638,1.91724431683139,574
"Obi Toppin",15.6216610582333,-13.7108437385759,1.91081731965738,18367
"Jay Huff",10.5279151227989,-8.63739733757836,1.89051778522059,3872
"Domantas Sabonis",13.7158166971102,-11.8765548653734,1.83926183173684,33546
"Zavier Simpson",12.5564148681863,-10.7292977568113,1.82711711137502,670
"Jeremy Sochan",12.4433453390587,-10.6179895748589,1.82535576419981,21147
"Christian Wood",11.5027651449545,-9.69102873164786,1.81173641330661,10612
"Oshae Brissett",13.7107126103898,-11.9270901126545,1.78362249773531,7723
"Justise Winslow",8.88588363584507,-7.11350725079853,1.77237638504654,3158
"Sasha Vezenkov",13.5948223701946,-11.8724410793857,1.7223812908089,2142
"Dennis Schroder",12.4152889086948,-10.7053149403823,1.70997396831253,27141
"Royce O'Neale",10.3856672103913,-8.68340549639316,1.70226171399809,25431
"Sandro Mamukelashvili",13.0266442874754,-11.3419342900595,1.68470999741588,7506
"Furkan Korkmaz",10.8282848976556,-9.14501253024222,1.68327236741338,2730
"Donte DiVincenzo",12.5360999036017,-10.8528786508728,1.68322125272884,24213
"Derrick Jones Jr.",10.5962737255597,-8.97444554301322,1.62182818254653,18958
"Bruno Fernando",10.9648338105589,-9.3698565593842,1.59497725117472,5055
"Marcus Smart",9.31516721390309,-7.73022946445981,1.58493774944328,13738
"Colin Castleton",7.06372919178704,-5.5260217331524,1.53770745863464,2037
"Malik Beasley",11.975410845166,-10.4458622940617,1.52954855110436,28353
"Olivier Sarr",13.049681063912,-11.5505611272301,1.49911993668186,875
"Vlatko Cancar",8.39058659999569,-6.93148710942209,1.45909949057359,4202
"Ochai Agbaji",10.9968705698081,-9.548024868076,1.44884570173213,19302
"Austin Reaves",15.2464988881844,-13.8121812067826,1.43431768140178,29400
"P.J. Washington",11.0167712300829,-9.68950285146126,1.32726837862168,27131
"Moritz Wagner",12.1619778712559,-10.8383286090863,1.3236492621696,12764
"Mikal Bridges",11.4353204883553,-10.154317041341,1.28100344701423,36079
